type,evaluation_type,question,expected_answer
조건검색_거래량변화율,PASS_OR_FAIL,2025-05-14에 거래량이 전날대비 300% 이상 증가한 종목을 모두 보여줘,"대정화금, 오에스피, 대한항공우, 태림포장, 휴엠앤씨, 대성파인텍, 프롬바이오, 이삭엔지니어링, 선바이오, 현대약품, 이글벳, 씨엔플러스, KS인더스트리, 대림통상, 코디, 케이엘넷, 기신정기, 금양그린파워, 에스에너지, 상아프론테크"
조건검색_복합조건,PASS_OR_FAIL,2024-08-30에 등락률이 +5% 이상이면서 거래량이 전날대비 300% 이상 증가한 종목을 모두 보여줘,"엑셀세라퓨틱스, ES큐브, 노브랜드, 라메디텍, 웨이버스, 풍원정밀, 선익시스템, 비스토스, 비에이치, 샤페론, 라온시큐어, HLB생명과학, 종근당바이오, 씨싸이트, 엑스게이트"
조건검색_거래량절대값,PASS_OR_FAIL,2024-11-22에 거래량이 2000만주 이상인 종목을 모두 보여줘,"삼부토건, 썸에이지, YG PLUS, 한일단조, 서울식품, 쓰리빌리언, 플레이그램, 범양건영"
조건검색_거래량절대값,PASS_OR_FAIL,2025-05-20에 거래량이 1000만주 이상인 종목을 모두 보여줘,"마니커, 대영포장, 우리기술, 평화산업, 메디콕스, 씨씨에스, 원익홀딩스, 바이오비쥬, 하림, 율호, 넥스트아이, 메이슨캐피탈, 이뮨온시아, 네오이뮨텍, 프롬바이오, 자연과환경, 씨엔플러스, 나우로보틱스, 두산에너빌리티, 리드코프, 동양철관, 랩지노믹스, 폴라리스AI파마, 체리부로, 수젠텍"
조건검색_복합조건,PASS_OR_FAIL,2025-01-16에 등락률이 +7% 이상이면서 거래량이 전날대비 100% 이상 증가한 종목을 모두 보여줘,"코어라인소프트, 풍강, 샌즈랩, 젠큐릭스, 모니터랩, 링크제니시스, 한싹, 우원개발, 대동, 케일럼, 셀비온, 피노, 씨메스, 한화솔루션, 에스피소프트"
조건검색_등락률,PASS_OR_FAIL,2024-09-09에 등락률이 -10% 이하인 종목을 모두 보여줘,"한국유니온제약, 신풍, 에스바이오메딕스, 스피어, 더바이오메드, 파라텍"
조건검색_KOSPI_등락률,PASS_OR_FAIL,2025-06-25에 KOSPI 시장에서 등락률이 +10% 이상인 종목을 모두 보여줘,"KCTC, 파미셀, DL이앤씨, 세아베스틸지주, 동방, 제주은행, 롯데손해보험, DL이앤씨2우(전환), 한국전력"
조건검색_가격범위,PASS_OR_FAIL,2025-05-16에 종가가 10만원 이상 20만원 이하인 종목을 모두 보여줘,"펩트론, 현대차, LG화학, NAVER, 미원상사, 솔브레인, HD현대미포, 메디톡스, 신세계, 세아제강, 삼성SDI, HD현대마린솔루션, 엔씨소프트, 조흥, 미원에스씨, 현대차2우B, 현대차3우B, 현대차우, LS, 셀트리온, 키움증권, 삼천당제약, LG이노텍, 대웅제약, 이오테크닉스, SK, CJ제일제당 우, 현대오토에버, 대한제분, 삼성에스디에스"
조건검색_복합조건,PASS_OR_FAIL,2025-04-02에 등락률이 +3% 이상이면서 거래량이 전날대비 100% 이상 증가한 종목을 모두 보여줘,"소프트캠프, 한텍, 형지글로벌, 에넥스, 비비안, 오리엔트정공, 디모아, 유일로보틱스, 와이즈버즈, 심플랫폼, 유디엠텍, 위너스, 내츄럴엔도텍, 유니슨, 아이씨티케이"
조건검색_가격범위,PASS_OR_FAIL,2025-04-30에 종가가 20만원 이상 50만원 이하인 종목을 모두 보여줘,"효성중공업, 농심, HD현대중공업, 오뚜기, 파마리서치, 삼성화재, 크래프톤, 한국쉘석유, 휴젤, 알테오젠, LG생활건강, LG에너지솔루션, LIG넥스원, HD현대일렉트릭, 두산, 삼성화재우, HD한국조선해양, 레인보우로보틱스, 한미약품, 현대모비스, 하이브, 아세아, POSCO홀딩스, KCC, SK가스, CJ제일제당, 효성티앤씨, 세아제강지주, LG화학, LS ELECTRIC"
조건검색_복합조건,PASS_OR_FAIL,2024-11-19에 등락률이 +2% 이상이면서 거래량이 전날대비 150% 이상 증가한 종목을 모두 보여줘,"에코캡, 인베니아, CJ 바이오사이언스, 가온전선, 글로본, 아톤, 하이젠알앤엠, 신테카바이오, 딥노이드, 로보티즈, 우리바이오, 셀바스헬스케어, 이브이첨단소재, 인포뱅크, 이니텍"
