type,evaluation_type,question,expected_answer
시그널감지_RSI_overbought,PASS_OR_FAIL,2025-01-20에 RSI가 70 이상인 과매수 종목을 알려줘,"대영포장(RSI:100.0), 홈센타홀딩스(RSI:100.0), 퀀텀온(RSI:100.0), RF머트리얼즈(RSI:99.1), 조일알미늄(RSI:97.7), 알엔투테크놀로지(RSI:97.4), 아이톡시(RSI:97.4), SNT모티브(RSI:96.9), 율촌화학(RSI:96.1), 듀오백(RSI:96.0), 한전기술(RSI:95.9), 두산에너빌리티(RSI:95.3), 세원물산(RSI:95.2), 옵티팜(RSI:95.1), 빅솔론(RSI:94.4)"
시그널감지_RSI_overbought,PASS_OR_FAIL,2025-01-13에 RSI가 80 이상인 과매수 종목을 알려줘,"엔케이(RSI:97.1), 한솔홈데코(RSI:94.6), 탑코미디어(RSI:94.2), 킵스파마(RSI:94.1), 하이젠알앤엠(RSI:92.3), 금호전기(RSI:91.8), 한화오션(RSI:91.6), 대보마그네틱(RSI:89.7), 에쎈테크(RSI:89.6), 동남합성(RSI:89.2), 금호에이치티(RSI:88.9), 위닉스(RSI:88.5), S-Oil(RSI:88.3), 넥써쓰(RSI:87.7), 한화엔진(RSI:87.0)"
시그널감지_거래량급증,PASS_OR_FAIL,2024-08-02에 거래량이 20일 평균 대비 500% 이상 급증한 종목을 알려줘,"뉴보텍(1756%), 대성하이텍(1625%), 휴니드(1604%), 소노스퀘어(1532%), 진매트릭스(1481%), 에스티오(1474%), DGP(1307%), 바이오노트(1298%), 코데즈컴바인(1292%), 나노엔텍(1246%), 미래생명자원(1201%), 랩지노믹스(1135%), 블루콤(1100%), 수젠텍(984%), 씨젠(965%), 피씨엘(850%), 휴마시스(822%), 엑세스바이오(783%), 한일사료(776%), 엘컴텍(769%)"
시그널종목_데드크로스_기간,PASS_OR_FAIL,2024-09-11부터 2024-10-11까지 데드크로스가 발생한 종목을 알려줘,"APS, BGF리테일, BYC, CJ, CJ CGV, CJ ENM, CJ4우(전환), CJ대한통운, CJ씨푸드, CJ우, CJ제일제당 우, CMG제약, CS, CSA 코스믹, DB손해보험, DB증권, DH오토리드, DKME, DMS, DN오토모티브"
시그널감지_거래량급증,PASS_OR_FAIL,2024-10-29에 거래량이 20일 평균 대비 500% 이상 급증한 종목을 알려줘,"티와이홀딩스우(1795%), 케이씨티(1752%), SGA(1661%), 예선테크(1521%), 유바이오로직스(1376%), 서울옥션(1357%), SGA솔루션즈(1350%), 디모아(1304%), 부산산업(1163%), 일신석재(1017%), 바텍(1014%), 제이티(997%), 한네트(982%), 다날(974%), 인성정보(941%), 로지시스(929%), 우리기술투자(911%), 리메드(890%), 이루온(859%), 주성엔지니어링(832%)"
시그널감지_볼린저_lower,PASS_OR_FAIL,2025-03-05에 볼린저 밴드 하단에 터치한 종목을 알려줘,"성안머티리얼스, 이엔플러스, 소니드, 아우딘퓨쳐스, 위메이드, 와이엠티, HLB펩, 씨에스윈드, 중앙첨단소재, KC그린홀딩스"
시그널감지_볼린저_upper,PASS_OR_FAIL,2024-10-07에 볼린저 밴드 상단에 터치한 종목을 알려줘,"인스코비, 피델릭스, 다이나믹디자인, 메가터치, 노을, 미래산업, 컨텍, 씨아이테크, 헝셩그룹, 중앙에너비스"
시그널감지_거래량급증,PASS_OR_FAIL,2024-12-03에 거래량이 20일 평균 대비 100% 이상 급증한 종목을 알려줘,"유유제약1우(1827%), 태림포장(1785%), 유유제약(1579%), 레이저옵텍(1550%), 대호특수강우(1383%), 알파녹스(1361%), 위드텍(1302%), 오에스피(1286%), 딥마인드(1264%), YBM넷(1234%), 유비케어(1218%), 대영포장(1174%), 유유제약2우B(1150%), 메이슨캐피탈(1081%), 코스텍시스(1077%), SBI인베스트먼트(1076%), 아이빔테크놀로지(996%), 효성화학(943%), 만호제강(904%), 네오리진(892%)"
시그널감지_거래량급증,PASS_OR_FAIL,2024-08-08에 거래량이 20일 평균 대비 100% 이상 급증한 종목을 알려줘,"케이엠(1823%), 웰크론(1589%), 오상헬스케어(1370%), 녹십자홀딩스2우(1342%), 모나리자(1311%), 일신바이오(1277%), 더바이오메드(1253%), 오공(1210%), 제일약품(1102%), 오텍(1095%), 녹십자엠에스(1094%), 얼라인드(1074%), 우정바이오(969%), SG세계물산(876%), 위더스제약(847%), 씨에스윈드(827%), GH신소재(817%), MH에탄올(808%), 한양증권우(794%), 나노팀(794%)"
시그널감지_MA20돌파,PASS_OR_FAIL,2025-03-10에 종가가 20일 이동평균보다 10% 이상 높은 종목을 알려줘,"아센디오(246.03%), 넥스틸(47.70%), 프럼파스트(43.06%), 동양철관(38.62%), 평화홀딩스(37.80%), 이니텍(36.64%), HLB펩(36.56%), 투비소프트(34.79%), 한국항공우주(34.71%), 하이스틸(34.19%), 알엔투테크놀로지(32.61%), 비엘팜텍(31.82%), 대동스틸(31.26%), 인크레더블버즈(29.61%), 휴스틸(29.58%)"
