type,evaluation_type,question,expected_answer
가격조회_시가,PASS_OR_FAIL,동부건설우의 2024-11-06 시가은?,"21,150원"
시장통계_상승종목수,PASS_OR_FAIL,2025-06-23에 상승한 종목은 몇 개인가?,632개
단순조회_종가,PASS_OR_FAIL,금양그린파워의 2024-08-08 종가는?,"10,580원"
시장조회_KOSPI_market_count,PASS_OR_FAIL,2025-06-26 KOSPI 시장에 거래된 종목 수는?,937개
시장상승률순위_KOSPI,PASS_OR_FAIL,2025-01-20에서 KOSPI에서 상승률 높은 종목 5개는?,"솔루스첨단소재2우B, 솔루스첨단소재, 솔루스첨단소재1우, 삼화전기, LS네트웍스"
시장조회_KOSPI_top_volume,PASS_OR_FAIL,2025-01-20 KOSPI 시장에서 거래량이 가장 많은 종목은?,"LS네트웍스 (33,638,023주)"
가격조회_시가,PASS_OR_FAIL,현대사료의 2025-05-12 시가은?,0원
단순조회_종가,PASS_OR_FAIL,피코그램의 2024-09-10 종가는?,"2,525원"
가격조회_등락률,PASS_OR_FAIL,레이언스의 2025-06-24 등락률은?,+0.29%
시장통계_KOSPI지수,PASS_OR_FAIL,2024-07-15 KOSPI 지수는?,2860.92
시장하락률순위_KOSDAQ,PASS_OR_FAIL,2025-03-05에서 KOSDAQ에서 하락률 높은 종목 5개는?,"한국피아이엠, HLB펩, 비엘팜텍, 파인테크닉스, 유일에너테크"
시장하락률순위_KOSDAQ,PASS_OR_FAIL,2024-09-05에서 KOSDAQ에서 하락률 높은 종목 5개는?,"코퍼스코리아, 에스비비테크, 에코프로에이치엔, 화성밸브, 티디에스팜"
단순조회_종가,PASS_OR_FAIL,KOSDAQ에서 신라젠의 2024-08-20 종가는?,"3,230원"
시장거래량순위_KOSPI,PASS_OR_FAIL,2024-10-11에서 KOSPI에서 거래량 많은 종목 10개는?,"티웨이항공, 티웨이홀딩스, 인스코비, 웅진씽크빅, 삼성전자, 에이프로젠, 보락, 웅진, 유한양행, 한세예스24홀딩스"
단순조회_종가,PASS_OR_FAIL,윤성에프앤씨의 2024-12-30 종가는?,"35,450원"
단순조회_종가,PASS_OR_FAIL,씨싸이트의 2024-11-13 종가는?,"8,420원"
시장가격순위_KOSDAQ,PASS_OR_FAIL,2024-10-07에서 KOSDAQ에서 가장 비싼 종목 3개는?,"알테오젠, 휴젤, 솔브레인"
가격조회_고가,PASS_OR_FAIL,산돌의 2025-03-06 고가은?,"8,220원"
시장가격순위_KOSPI,PASS_OR_FAIL,2025-05-14에서 KOSPI에서 가장 비싼 종목 3개는?,"삼성바이오로직스, 삼양식품, 태광산업"
단순조회_거래량순위,PASS_OR_FAIL,2025-06-27에서 거래량 기준 상위 10개 종목은?,"휴림로봇, 형지I&C, 엔비티, 로보로보, KCTC, 다날, 동방, 우리기술, 삼성전자, 엔투텍"
