회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
달바글로벌,483650,기타 화학제품 제조업,"기초 화장품, 건강기능식품 등",2025-05-22,KOSPI,483650.KS
씨케이솔루션,480370,"건축기술, 엔지니어링 및 관련 기술 서비스업","드라이룸/클린룸 등 건물용 기계, 장비 설치 공사업",2025-03-17,KOSPI,480370.KS
서울보증보험,031210,보험업,"보증보험, 신용보험 등",2025-03-14,KOSPI,031210.KS
LG씨엔에스,064400,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨설팅, 시스템 구축/운영, 토탈 아웃소싱 및 AI, 클라우드·스마트팩토리 등 IT신기술 기반의 DX사업",2025-02-05,KOSPI,064400.KS
GS피앤엘,499790,기타 금융업,지주회사,2024-12-23,KOSPI,499790.KS
엠앤씨솔루션,484870,특수 목적용 기계 제조업,방위산업용 유압식/전기식 부품 및 시스템,2024-12-16,KOSPI,484870.KS
KB발해인프라,415640,신탁업 및 집합투자업,,2024-11-29,KOSPI,415640.KS
더본코리아,475560,상품 종합 도매업,프랜차이즈,2024-11-06,KOSPI,475560.KS
한화비전,489790,기타 금융업,비금융지주회사,2024-09-27,KOSPI,489790.KS
전진건설로봇,079900,특수 목적용 기계 제조업,콘크리트 펌프카,2024-08-19,KOSPI,079900.KS
HS효성,487570,기타 금융업,지주사업,2024-07-29,KOSPI,487570.KS
산일전기,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,KOSPI,062040.KS
시프트업,462870,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,KOSPI,462870.KS
신한글로벌액티브리츠,481850,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,KOSPI,481850.KS
파라다이스,034230,유원지 및 기타 오락관련 서비스업,"카지노, 호텔, 복합리조트",2024-06-24,KOSPI,034230.KS
HD현대마린솔루션,443060,"건축기술, 엔지니어링 및 관련 기술 서비스업","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어",2024-05-08,KOSPI,443060.KS
SK이터닉스,475150,건물 건설업,부동산 개발,2024-03-29,KOSPI,475150.KS
에이피알,278470,기타 화학제품 제조업,"화장품, 피부미용기기 등",2024-02-27,KOSPI,278470.KS
엘앤에프,066970,일차전지 및 이차전지 제조업,이차전지 양극활물질,2024-01-29,KOSPI,066970.KS
포스코DX,022100,"건축기술, 엔지니어링 및 관련 기술 서비스업",EIC 자동화 엔지니어링 및 IT서비스,2024-01-02,KOSPI,022100.KS
DS단석,017860,기타 화학제품 제조업,바이오에너지,2023-12-22,KOSPI,017860.KS
동인기연,111380,"가죽, 가방 및 유사제품 제조업","스포츠용품(등산용가방,골프백),금속압형제품,유아용품 제조,도소매,통신 판매/부동산 임대",2023-11-21,KOSPI,111380.KS
에코프로머티,450080,일차전지 및 이차전지 제조업,배터리 양극재용 핵심소재 하이니켈 전구체,2023-11-17,KOSPI,450080.KS
두산로보틱스,454910,특수 목적용 기계 제조업,협동로봇,2023-10-05,KOSPI,454910.KS
STX그린로지스,465770,해상 운송업,해상운송업 및 물류업,2023-09-15,KOSPI,465770.KS
넥스틸,092790,1차 철강 제조업,"OCTG Pipe, Line Pipe, Standard Pipe, 일반관",2023-08-21,KOSPI,092790.KS
NICE평가정보,030190,기타 정보 서비스업,"개인 및 기업정보, 솔루션",2023-08-08,KOSPI,030190.KS
조선내화,462520,"내화, 비내화 요업제품 제조업",내화 요업제품,2023-07-28,KOSPI,462520.KS
비에이치,090460,전자부품 제조업,FPCB (연성인쇄회로기판),2023-06-20,KOSPI,090460.KS
동국씨엠,460850,1차 철강 제조업,"냉연강판, 칼라강판",2023-06-16,KOSPI,460850.KS
동국제강,460860,1차 철강 제조업,"봉강,형강,후판,냉연강판,칼라강판",2023-06-16,KOSPI,460860.KS
이수스페셜티케미컬,457190,기초 화학물질 제조업,석유화학제품 및 정밀화학제품,2023-05-31,KOSPI,457190.KS
OCI,456040,기초 화학물질 제조업,"폴리실리콘,타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",2023-05-30,KOSPI,456040.KS
SK오션플랜트,100090,1차 철강 제조업,해상풍력 하부구조물,2023-04-19,KOSPI,100090.KS
삼성FN리츠,448730,부동산 임대 및 공급업,대치타워 및 에스원빌딩,2023-04-10,KOSPI,448730.KS
현대그린푸드,453340,종합 소매업,"푸드서비스(단체급식), 식자재유통서비스, 공산품/생식품 유통서비스",2023-04-10,KOSPI,453340.KS
한화갤러리아,452260,종합 소매업,백화점,2023-03-31,KOSPI,452260.KS
한화리츠,451800,부동산 임대 및 공급업,부동산투자,2023-03-27,KOSPI,451800.KS
코오롱모빌리티그룹,450140,자동차 판매업,수입자동차 유통 및 정비업,2023-01-31,KOSPI,450140.KS
바이오노트,377740,의료용품 및 기타 의약 관련제품 제조업,"Rapid 반제품 및 완제품, 동물용신속진단 키트",2022-12-22,KOSPI,377740.KS
유니드비티플러스,446070,제재 및 목재 가공업,MDF 등,2022-11-28,KOSPI,446070.KS
LX세미콘,108320,반도체 제조업,Display Driver IC,2022-11-03,KOSPI,108320.KS
KB스타리츠,432320,부동산 임대 및 공급업,"벨기에 North Galaxy Towers, 영국 Samsung Europe HQ",2022-10-06,KOSPI,432320.KS
쏘카,403550,운송장비 임대업,"카셰어링, 모빌리티 플랫폼 등",2022-08-22,KOSPI,403550.KS
수산인더스트리,126720,건물설비 설치 공사업,전력발전설비 정비 용역,2022-08-01,KOSPI,126720.KS
마스턴프리미어리츠,357430,부동산 임대 및 공급업,"프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터",2022-05-31,KOSPI,357430.KS
코람코더원리츠,417310,부동산 임대 및 공급업,서울 영등포구 여의도 소재 하나금융투자 빌딩,2022-03-28,KOSPI,417310.KS
LG에너지솔루션,373220,일차전지 및 이차전지 제조업,"2차전지 (소형,ESS,자동차전지)",2022-01-27,KOSPI,373220.KS
신한서부티엔디리츠,404990,부동산 임대 및 공급업,부동산투자,2021-12-10,KOSPI,404990.KS
미래에셋글로벌리츠,396690,부동산 임대 및 공급업,부동산 임대업,2021-12-03,KOSPI,396690.KS
SK스퀘어,402340,기타 금융업,지주회사,2021-11-29,KOSPI,402340.KS
NH올원리츠,400760,부동산 임대 및 공급업,부동산투자,2021-11-18,KOSPI,400760.KS
카카오페이,377300,금융 지원 서비스업,"간편결제, 간편송금 및 기타 금융서비스",2021-11-03,KOSPI,377300.KS
케이카,381970,자동차 판매업,오프라인 및 온라인 중고차 매매업,2021-10-13,KOSPI,381970.KS
HD현대중공업,329180,선박 및 보트 건조업,"선박, 해양플랜트 및 엔진기계 등",2021-09-17,KOSPI,329180.KS
SK리츠,395400,부동산 임대 및 공급업,서울 중구 소재 SK서린빌딩 및 전국 116개 주유소 임대 운영,2021-09-14,KOSPI,395400.KS
일진하이솔루스,271940,그외 기타 운송장비 제조업,"수소승용용기, 매연저감장치 등",2021-09-01,KOSPI,271940.KS
디앤디플랫폼리츠,377190,부동산 임대 및 공급업,부동산 투자 및 관리,2021-08-27,KOSPI,377190.KS
아주스틸,139990,1차 철강 제조업,"프리미엄 가전용 고품질 컬러강판, 건자재 등",2021-08-20,KOSPI,139990.KS
롯데렌탈,089860,운송장비 임대업,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)",2021-08-19,KOSPI,089860.KS
한컴라이프케어,372910,의료용 기기 제조업,"공기호흡기, 방독면, 보호복 등",2021-08-17,KOSPI,372910.KS
크래프톤,259960,소프트웨어 개발 및 공급업,<배틀그라운드> 등 게임 소프트웨어,2021-08-10,KOSPI,259960.KS
PI첨단소재,178920,플라스틱제품 제조업,PI(Polyimide)제품,2021-08-09,KOSPI,178920.KS
카카오뱅크,323410,은행 및 저축기관,은행 및 금융서비스,2021-08-06,KOSPI,323410.KS
에스디바이오센서,137310,의료용 기기 제조업,STANDARD Q 항원/항체 진단키트(COVID-19 진단키트),2021-07-16,KOSPI,137310.KS
엠씨넥스,097520,영상 및 음향기기 제조업,"모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라",2021-07-06,KOSPI,097520.KS
LX홀딩스,383800,기타 금융업,지주회사,2021-05-27,KOSPI,383800.KS
F&F,383220,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,KOSPI,383220.KS
SK아이이테크놀로지,361610,일차전지 및 이차전지 제조업,2차전지용 습식 분리막 및 폴더블 커버 윈도우,2021-05-11,KOSPI,361610.KS
SK바이오사이언스,302440,기초 의약물질 제조업,백신 제품 및 제제,2021-03-18,KOSPI,302440.KS
화승알앤에이,378850,자동차 신품 부품 제조업,자동차용 고무제품,2021-03-15,KOSPI,378850.KS
프레스티지바이오파마,950210,자연과학 및 공학 연구개발업,바이오시밀러 및 항체의약품 신약,2021-02-05,KOSPI,950210.KS
솔루엠,248070,전자부품 제조업,"POWER, 3in1 Board, ESL 등",2021-02-02,KOSPI,248070.KS
DL이앤씨,375500,토목 건설업,토목 건설 사업,2021-01-25,KOSPI,375500.KS
ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업,부동산투자,2020-12-23,KOSPI,365550.KS
명신산업,009900,자동차 신품 부품 제조업,자동차차체부품,2020-12-07,KOSPI,009900.KS
에이플러스에셋,244920,보험 및 연금관련 서비스업,보험대리 및 중개업,2020-11-20,KOSPI,244920.KS
교촌에프앤비,339770,음·식료품 및 담배 도매업,치킨 프랜차이즈,2020-11-12,KOSPI,339770.KS
하이브,352820,오디오물 출판 및 원판 녹음업,"음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트",2020-10-15,KOSPI,352820.KS
티와이홀딩스,363280,기타 금융업,지주사업,2020-09-22,KOSPI,363280.KS
코람코라이프인프라리츠,357120,부동산 임대 및 공급업,부동산 투자 및 관리,2020-08-31,KOSPI,357120.KS
제이알글로벌리츠,348950,부동산 임대 및 공급업,벨기에 파이낸스 타워,2020-08-07,KOSPI,348950.KS
미래에셋맵스리츠,357250,부동산 임대 및 공급업,부동산 임대업,2020-08-05,KOSPI,357250.KS
이지스레지던스리츠,350520,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-08-05,KOSPI,350520.KS
이지스밸류플러스리츠,334890,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-07-16,KOSPI,334890.KS
에스케이바이오팜,326030,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,2020-07-02,KOSPI,326030.KS
대덕전자,353200,전자부품 제조업,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",2020-05-21,KOSPI,353200.KS
케이씨씨글라스,344820,유리 및 유리제품 제조업,판유리 등,2020-01-21,KOSPI,344820.KS
NH프라임리츠,338100,부동산 임대 및 공급업,부동산 투자,2019-12-05,KOSPI,338100.KS
씨티알모빌리티,308170,자동차 신품 부품 제조업,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬",2019-11-25,KOSPI,308170.KS
HD현대에너지솔루션,322000,반도체 제조업,"태양광 셀·모듈, PV시스템, ESS",2019-11-19,KOSPI,322000.KS
한화시스템,272210,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",2019-11-13,KOSPI,272210.KS
자이에스앤디,317400,부동산 임대 및 공급업,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",2019-11-06,KOSPI,317400.KS
롯데리츠,330590,부동산 임대 및 공급업,부동산투자,2019-10-30,KOSPI,330590.KS
지누스,013890,가구 제조업,매트리스 및 가구제품,2019-10-30,KOSPI,013890.KS
두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",연료전지,2019-10-18,KOSPI,336260.KS
솔루스첨단소재,336370,전자부품 제조업,"동박, 유압기기 등",2019-10-18,KOSPI,336370.KS
콘텐트리중앙,036420,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고",2019-10-18,KOSPI,036420.KS
포스코퓨처엠,003670,일차전지 및 이차전지 제조업,"내화물, 생석회, 음극재 및 양극재",2019-05-29,KOSPI,003670.KS
현대오토에버,307950,소프트웨어 개발 및 공급업,"차량SW, 내비게이션, 스마트팩토리, AI·클라우드 기반 솔루션, 디지털 전환 컨설팅 및 IT서비스",2019-03-28,KOSPI,307950.KS
드림텍,192650,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14,KOSPI,192650.KS
더블유게임즈,192080,소프트웨어 개발 및 공급업,모바일게임,2019-03-12,KOSPI,192080.KS
우리금융지주,316140,기타 금융업,금융지주,2019-02-13,KOSPI,316140.KS
에어부산,298690,항공 여객 운송업,항공 여객 및 화물 운송,2018-12-27,KOSPI,298690.KS
아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",2018-11-23,KOSPI,267850.KS
세아제강,306200,1차 철강 제조업,강관,2018-10-05,KOSPI,306200.KS
하나제약,293480,의약품 제조업,완제의약품,2018-10-02,KOSPI,293480.KS
우진아이엔에스,010400,건물설비 설치 공사업,반도체/디스플레이 코팅덕트,2018-09-14,KOSPI,010400.KS
