company_name,stock_code,market,ticker
마이크로컨텍솔,098120,KOSDAQ,098120.KQ
포스코엠텍,009520,KOSDAQ GLOBAL,009520.KQ
AJ네트웍스,095570,KOSPI,095570.KS
AK홀딩스,006840,KOSPI,006840.KS
BGF리테일,282330,KOSPI,282330.KS
BGF,027410,KOSPI,027410.KS
BNK금융지주,138930,KOSPI,138930.KS
BYC우,001465,KOSPI,001465.KS
BYC,001460,KOSPI,001460.KS
CJ우,001045,KOSPI,001045.KS
CJ4우(전환),00104K,KOSPI,00104K.KS
CJ,001040,KOSPI,001040.KS
CJ씨푸드1우,011155,KOSPI,011155.KS
CJ씨푸드,011150,KOSPI,011150.KS
CMG제약,058820,KOSDAQ,058820.KQ
CS홀딩스,000590,KOSPI,000590.KS
DB,012030,KOSPI,012030.KS
DB손해보험,005830,KOSPI,005830.KS
DB증권,016610,KOSPI,016610.KS
DB하이텍,000990,KOSPI,000990.KS
DI동일,001530,KOSPI,001530.KS
DL우,000215,KOSPI,000215.KS
DL,000210,KOSPI,000210.KS
DL이앤씨우,37550K,KOSPI,37550K.KS
DL이앤씨2우(전환),37550L,KOSPI,37550L.KS
DL이앤씨,375500,KOSPI,375500.KS
DSR,155660,KOSPI,155660.KS
DSR제강,069730,KOSPI,069730.KS
DS단석,017860,KOSPI,017860.KS
E1,017940,KOSPI,017940.KS
ESR켄달스퀘어리츠,365550,KOSPI,365550.KS
ES큐브,050120,KOSDAQ,050120.KQ
F&F,383220,KOSPI,383220.KS
F&F홀딩스,007700,KOSPI,007700.KS
GS우,078935,KOSPI,078935.KS
GS건설,006360,KOSPI,006360.KS
GS,078930,KOSPI,078930.KS
HDC,012630,KOSPI,012630.KS
HDC현대산업개발,294870,KOSPI,294870.KS
HJ중공업,097230,KOSPI,097230.KS
HL D&I,014790,KOSPI,014790.KS
HLB이노베이션,024850,KOSDAQ,024850.KQ
HL만도,204320,KOSPI,204320.KS
HL홀딩스,060980,KOSPI,060980.KS
HS애드,035000,KOSPI,035000.KS
IHQ,003560,KOSPI,003560.KS
INVENI,015360,KOSPI,015360.KS
JB금융지주,175330,KOSPI,175330.KS
JW생명과학,234080,KOSPI,234080.KS
JW중외제약우,001065,KOSPI,001065.KS
JW중외제약2우B,001067,KOSPI,001067.KS
JW중외제약,001060,KOSPI,001060.KS
JW홀딩스,096760,KOSPI,096760.KS
KB금융,105560,KOSPI,105560.KS
KB스타리츠,432320,KOSPI,432320.KS
KB오토시스,024120,KOSDAQ,024120.KQ
KCTC,009070,KOSPI,009070.KS
KD,044180,KOSDAQ,044180.KQ
KG모빌리티,003620,KOSPI,003620.KS
KG스틸,016380,KOSPI,016380.KS
KG케미칼,001390,KOSPI,001390.KS
KH 필룩스,033180,KOSPI,033180.KS
KISCO홀딩스,001940,KOSPI,001940.KS
KPX케미칼,025000,KOSPI,025000.KS
KPX홀딩스,092230,KOSPI,092230.KS
KR모터스,000040,KOSPI,000040.KS
LF,093050,KOSPI,093050.KS
LG우,003555,KOSPI,003555.KS
LG디스플레이,034220,KOSPI,034220.KS
LG,003550,KOSPI,003550.KS
LG생활건강우,051905,KOSPI,051905.KS
LG생활건강,051900,KOSPI,051900.KS
LG에너지솔루션,373220,KOSPI,373220.KS
LG유플러스,032640,KOSPI,032640.KS
LG이노텍,011070,KOSPI,011070.KS
LG전자우,066575,KOSPI,066575.KS
LG전자,066570,KOSPI,066570.KS
LG화학우,051915,KOSPI,051915.KS
LG화학,051910,KOSPI,051910.KS
LIG넥스원,079550,KOSPI,079550.KS
LS ELECTRIC,010120,KOSPI,010120.KS
LS네트웍스,000680,KOSPI,000680.KS
LS,006260,KOSPI,006260.KS
LS에코에너지,229640,KOSPI,229640.KS
LX세미콘,108320,KOSPI,108320.KS
LX인터내셔널,001120,KOSPI,001120.KS
MDS테크,086960,KOSDAQ,086960.KQ
MH에탄올,023150,KOSPI,023150.KS
NAVER,035420,KOSPI,035420.KS
NHN,181710,KOSPI,181710.KS
NH프라임리츠,338100,KOSPI,338100.KS
NICE,034310,KOSPI,034310.KS
NICE인프라,063570,KOSDAQ,063570.KQ
NI스틸,008260,KOSPI,008260.KS
NPC우,004255,KOSPI,004255.KS
NPC,004250,KOSPI,004250.KS
OCI,456040,KOSPI,456040.KS
S-Oil우,010955,KOSPI,010955.KS
S-Oil,010950,KOSPI,010950.KS
SBI핀테크솔루션즈,950110,KOSDAQ,950110.KQ
SGC에너지,005090,KOSPI,005090.KS
SG글로벌,001380,KOSPI,001380.KS
SHD,001770,KOSPI,001770.KS
